"id"	"source_id"	"name"	"value"
"348"	"18"	"Borough"	"3"
"349"	"18"	"Borough"	"3"
"350"	"18"	"Borough"	"3"
"351"	"18"	"Borough"	"3"
"352"	"18"	"Borough"	"3"
"353"	"18"	"Borough"	"3"
"354"	"18"	"Borough"	"3"
"355"	"18"	"Borough"	"3"
"356"	"18"	"Borough"	"3"
"357"	"18"	"Borough"	"3"
"358"	"18"	"Borough"	"3"
"359"	"19"	"Borough"	"3"
"360"	"19"	"Borough"	"3"
"361"	"19"	"Borough"	"3"
"362"	"19"	"Borough"	"3"
"363"	"19"	"Borough"	"3"
"364"	"19"	"Borough"	"3"
"365"	"19"	"Borough"	"3"
"366"	"19"	"Borough"	"3"
"367"	"19"	"Borough"	"3"
"368"	"19"	"Borough"	"3"
"369"	"19"	"Borough"	"3"
"370"	"19"	"Borough"	"3"
"371"	"19"	"Borough"	"3"
"372"	"19"	"Borough"	"3"
"373"	"19"	"Borough"	"3"
"374"	"19"	"Borough"	"3"
"375"	"20"	"Borough"	"3"
"376"	"20"	"Borough"	"3"
"377"	"20"	"Borough"	"3"
"378"	"20"	"Borough"	"3"
"379"	"20"	"Borough"	"3"
"380"	"20"	"Borough"	"3"
"381"	"20"	"Borough"	"3"
"382"	"20"	"Borough"	"3"
"383"	"20"	"Borough"	"3"
"384"	"20"	"Borough"	"3"
"385"	"20"	"Borough"	"3"
"386"	"20"	"Borough"	"3"
"387"	"20"	"Borough"	"3"
"388"	"20"	"Borough"	"3"
"389"	"20"	"Borough"	"3"
"390"	"20"	"Borough"	"3"
"391"	"21"	"Borough"	"3"
"392"	"21"	"Borough"	"3"
"393"	"21"	"Borough"	"3"
"394"	"21"	"Borough"	"3"
"395"	"21"	"Borough"	"3"
"396"	"21"	"Borough"	"3"
"397"	"21"	"Borough"	"3"
"398"	"21"	"Borough"	"3"
"399"	"21"	"Borough"	"3"
"400"	"21"	"Borough"	"3"
"401"	"21"	"Borough"	"3"
"402"	"21"	"Borough"	"3"
"403"	"21"	"Borough"	"3"
"404"	"21"	"Borough"	"3"
"405"	"21"	"Borough"	"3"
"406"	"21"	"Borough"	"3"
"407"	"22"	"Borough"	"3"
"408"	"22"	"Borough"	"3"
"409"	"22"	"Borough"	"3"
"410"	"22"	"Borough"	"3"
"411"	"22"	"Borough"	"3"
"412"	"22"	"Borough"	"3"
"413"	"22"	"Borough"	"3"
"414"	"22"	"Borough"	"3"
"415"	"22"	"Borough"	"3"
"416"	"22"	"Borough"	"3"
"417"	"22"	"Borough"	"3"
"418"	"22"	"Borough"	"3"
"419"	"22"	"Borough"	"3"
"420"	"22"	"Borough"	"3"
"421"	"22"	"Borough"	"3"
"422"	"22"	"Borough"	"3"
"423"	"23"	"Borough"	"3"
"424"	"23"	"Borough"	"3"
"425"	"23"	"Borough"	"3"
"426"	"23"	"Borough"	"3"
"427"	"23"	"Borough"	"3"
"428"	"23"	"Borough"	"3"
"429"	"23"	"Borough"	"3"
"430"	"23"	"Borough"	"3"
"431"	"23"	"Borough"	"3"
"432"	"23"	"Borough"	"3"
"433"	"23"	"Borough"	"3"
"434"	"23"	"Borough"	"3"
"435"	"23"	"Borough"	"3"
"436"	"23"	"Borough"	"3"
"437"	"23"	"Borough"	"3"
"438"	"23"	"Borough"	"3"
"439"	"24"	"Borough"	"3"
"440"	"24"	"Borough"	"3"
"441"	"24"	"Borough"	"3"
"442"	"24"	"Borough"	"3"
"443"	"24"	"Borough"	"3"
"444"	"24"	"Borough"	"3"
"445"	"24"	"Borough"	"3"
"446"	"24"	"Borough"	"3"
"447"	"24"	"Borough"	"3"
"448"	"24"	"Borough"	"3"
"449"	"24"	"Borough"	"3"
"450"	"24"	"Borough"	"3"
"451"	"24"	"Borough"	"3"
"452"	"24"	"Borough"	"3"
"453"	"24"	"Borough"	"3"
"454"	"24"	"Borough"	"3"
"455"	"25"	"Borough"	"3"
"456"	"25"	"Borough"	"3"
"457"	"25"	"Borough"	"3"
"458"	"25"	"Borough"	"3"
"459"	"25"	"Borough"	"3"
"460"	"25"	"Borough"	"3"
"461"	"25"	"Borough"	"3"
"462"	"25"	"Borough"	"3"
"463"	"25"	"Borough"	"3"
"464"	"25"	"Borough"	"3"
"465"	"25"	"Borough"	"3"
"466"	"25"	"Borough"	"3"
"467"	"25"	"Borough"	"3"
"468"	"25"	"Borough"	"3"
"469"	"25"	"Borough"	"3"
"470"	"25"	"Borough"	"3"
"471"	"26"	"Borough"	"3"
"472"	"26"	"Borough"	"3"
"473"	"26"	"Borough"	"3"
"474"	"26"	"Borough"	"3"
"475"	"26"	"Borough"	"3"
"476"	"26"	"Borough"	"3"
"477"	"26"	"Borough"	"3"
"478"	"26"	"Borough"	"3"
"479"	"26"	"Borough"	"3"
"480"	"26"	"Borough"	"3"
"481"	"26"	"Borough"	"3"
"482"	"26"	"Borough"	"3"
"483"	"26"	"Borough"	"3"
"484"	"26"	"Borough"	"3"
"485"	"26"	"Borough"	"3"
"486"	"26"	"Borough"	"3"
"487"	"27"	"Borough"	"3"
"488"	"27"	"Borough"	"3"
"489"	"27"	"Borough"	"3"
"490"	"27"	"Borough"	"3"
"491"	"27"	"Borough"	"3"
"492"	"27"	"Borough"	"3"
"493"	"27"	"Borough"	"3"
"494"	"27"	"Borough"	"3"
"495"	"27"	"Borough"	"3"
"496"	"27"	"Borough"	"3"
"497"	"27"	"Borough"	"3"
"498"	"27"	"Borough"	"3"
"499"	"27"	"Borough"	"3"
"500"	"27"	"Borough"	"3"
"501"	"27"	"Borough"	"3"
"502"	"27"	"Borough"	"3"
"503"	"28"	"Borough"	"3"
"504"	"28"	"Borough"	"3"
"505"	"28"	"Borough"	"3"
"506"	"28"	"Borough"	"3"
"507"	"28"	"Borough"	"3"
"508"	"28"	"Borough"	"3"
"509"	"28"	"Borough"	"3"
"510"	"28"	"Borough"	"3"
"511"	"28"	"Borough"	"3"
"512"	"28"	"Borough"	"3"
"513"	"28"	"Borough"	"3"
"514"	"28"	"Borough"	"3"
"515"	"28"	"Borough"	"3"
"516"	"28"	"Borough"	"3"
"517"	"28"	"Borough"	"3"
"518"	"28"	"Borough"	"3"
"519"	"29"	"Borough"	"3"
"520"	"29"	"Borough"	"3"
"521"	"29"	"Borough"	"3"
"522"	"29"	"Borough"	"3"
"523"	"29"	"Borough"	"3"
"524"	"29"	"Borough"	"3"
"525"	"29"	"Borough"	"3"
"526"	"29"	"Borough"	"3"
"527"	"29"	"Borough"	"3"
"528"	"29"	"Borough"	"3"
"529"	"29"	"Borough"	"3"
"530"	"29"	"Borough"	"3"
"531"	"29"	"Borough"	"3"
"532"	"29"	"Borough"	"3"
"533"	"29"	"Borough"	"3"
"534"	"29"	"Borough"	"3"
"535"	"30"	"Borough"	"3"
"536"	"30"	"Borough"	"3"
"537"	"30"	"Borough"	"3"
"538"	"30"	"Borough"	"3"
"539"	"30"	"Borough"	"3"
"540"	"30"	"Borough"	"3"
"541"	"30"	"Borough"	"3"
"542"	"30"	"Borough"	"3"
"543"	"30"	"Borough"	"3"
"544"	"30"	"Borough"	"3"
"545"	"30"	"Borough"	"3"
"546"	"30"	"Borough"	"3"
"547"	"30"	"Borough"	"3"
"548"	"30"	"Borough"	"3"
"549"	"30"	"Borough"	"3"
"550"	"30"	"Borough"	"3"
"551"	"31"	"Borough"	"3"
"552"	"31"	"Borough"	"3"
"553"	"31"	"Borough"	"3"
"554"	"31"	"Borough"	"3"
"555"	"31"	"Borough"	"3"
"556"	"31"	"Borough"	"3"
"557"	"31"	"Borough"	"3"
"558"	"31"	"Borough"	"3"
"559"	"31"	"Borough"	"3"
"560"	"31"	"Borough"	"3"
"561"	"31"	"Borough"	"3"
"562"	"31"	"Borough"	"3"
"563"	"31"	"Borough"	"3"
"564"	"31"	"Borough"	"3"
"565"	"31"	"Borough"	"3"
"566"	"31"	"Borough"	"3"
"567"	"32"	"Borough"	"3"
"568"	"32"	"Borough"	"3"
"569"	"32"	"Borough"	"3"
"570"	"32"	"Borough"	"3"
"571"	"32"	"Borough"	"3"
"572"	"32"	"Borough"	"3"
"573"	"32"	"Borough"	"3"
"574"	"32"	"Borough"	"3"
"575"	"32"	"Borough"	"3"
"576"	"32"	"Borough"	"3"
"577"	"32"	"Borough"	"3"
"578"	"32"	"Borough"	"3"
"579"	"32"	"Borough"	"3"
"580"	"32"	"Borough"	"3"
"581"	"32"	"Borough"	"3"
"582"	"32"	"Borough"	"3"
"583"	"33"	"Borough"	"3"
"584"	"33"	"Borough"	"3"
"585"	"33"	"Borough"	"3"
"586"	"33"	"Borough"	"3"
"587"	"33"	"Borough"	"3"
"588"	"33"	"Borough"	"3"
"589"	"33"	"Borough"	"3"
"590"	"33"	"Borough"	"3"
"591"	"33"	"Borough"	"3"
"592"	"33"	"Borough"	"3"
"593"	"33"	"Borough"	"3"
"594"	"33"	"Borough"	"3"
"595"	"33"	"Borough"	"3"
"596"	"33"	"Borough"	"3"
"597"	"33"	"Borough"	"3"
"598"	"33"	"Borough"	"3"
"599"	"34"	"Borough"	"3"
"600"	"34"	"Borough"	"3"
"601"	"34"	"Borough"	"3"
"602"	"34"	"Borough"	"3"
"603"	"34"	"Borough"	"3"
"604"	"34"	"Borough"	"3"
"605"	"34"	"Borough"	"3"
